2017-02-07 09:41:01.747797 -- Unable to retweet id: 299530651776999424
2017-02-07 09:41:01.882507 -- Unable to retweet id: 299542215292755968
2017-02-07 09:42:02.098512 -- Unable to retweet id: 299530494457020417
2017-02-07 09:42:02.232395 -- Unable to retweet id: 299530651776999424
2017-02-07 09:42:02.363894 -- Unable to retweet id: 299542215292755968
2017-02-07 09:43:01.598829 -- Unable to retweet id: 299530494457020417
2017-02-07 09:43:01.724913 -- Unable to retweet id: 299530651776999424
2017-02-07 09:43:01.901403 -- Unable to retweet id: 299542215292755968
2017-02-07 09:44:02.175885 -- Unable to retweet id: 299530494457020417
2017-02-07 09:44:02.301237 -- Unable to retweet id: 299530651776999424
2017-02-07 09:44:02.431829 -- Unable to retweet id: 299542215292755968
2017-02-07 09:45:01.648359 -- Unable to retweet id: 299530494457020417
2017-02-07 09:45:01.781174 -- Unable to retweet id: 299530651776999424
2017-02-07 09:45:01.912146 -- Unable to retweet id: 299542215292755968
2017-02-07 09:46:02.132934 -- Unable to retweet id: 299530494457020417
2017-02-07 09:46:02.270367 -- Unable to retweet id: 299530651776999424
2017-02-07 09:46:02.413668 -- Unable to retweet id: 299542215292755968
2017-02-07 09:47:01.625634 -- Unable to retweet id: 299530494457020417
2017-02-07 09:47:01.752651 -- Unable to retweet id: 299530651776999424
2017-02-07 09:47:01.885457 -- Unable to retweet id: 299542215292755968
2017-02-07 09:48:02.159703 -- Unable to retweet id: 299530494457020417
2017-02-07 09:48:02.296801 -- Unable to retweet id: 299530651776999424
2017-02-07 09:48:02.426124 -- Unable to retweet id: 299542215292755968
2017-02-07 09:49:01.665498 -- Unable to retweet id: 299530494457020417
2017-02-07 09:49:01.788712 -- Unable to retweet id: 299530651776999424
2017-02-07 09:49:01.925126 -- Unable to retweet id: 299542215292755968
2017-02-07 09:50:02.151229 -- Unable to retweet id: 299530494457020417
2017-02-07 09:50:02.284285 -- Unable to retweet id: 299530651776999424
2017-02-07 09:50:02.415427 -- Unable to retweet id: 299542215292755968
2017-02-07 09:51:01.635140 -- Unable to retweet id: 299530494457020417
2017-02-07 09:51:01.787217 -- Unable to retweet id: 299530651776999424
2017-02-07 09:51:01.911873 -- Unable to retweet id: 299542215292755968
2017-02-07 09:52:02.192978 -- Unable to retweet id: 299530494457020417
2017-02-07 09:52:02.324586 -- Unable to retweet id: 299530651776999424
2017-02-07 09:52:02.455019 -- Unable to retweet id: 299542215292755968
2017-02-07 09:53:01.677135 -- Unable to retweet id: 299530494457020417
2017-02-07 09:53:01.811999 -- Unable to retweet id: 299530651776999424
